iter	Passed	Remaining
0	193	57969
1	225	33619
2	260	25753
3	292	21634
4	326	19235
5	358	17581
6	392	16440
7	436	15917
8	475	15362
9	513	14891
10	548	14422
11	590	14162
12	627	13853
13	663	13551
14	702	13346
15	739	13131
16	777	12940
17	815	12777
18	859	12716
19	896	12551
20	934	12413
21	974	12308
22	1010	12168
23	1046	12029
24	1083	11919
25	1123	11839
26	1161	11746
27	1199	11655
28	1241	11603
29	1278	11502
30	1312	11393
31	1348	11296
32	1385	11208
33	1421	11123
34	1459	11047
35	1494	10959
36	1530	10876
37	1566	10797
38	1602	10721
39	1642	10676
40	1681	10619
41	1718	10554
42	1755	10494
43	1794	10442
44	1831	10379
45	1867	10313
46	1903	10243
47	1938	10176
48	1974	10114
49	2013	10066
50	2052	10022
51	2089	9967
52	2127	9914
53	2164	9862
54	2202	9812
55	2239	9756
56	2275	9700
57	2313	9653
58	2351	9607
59	2388	9555
60	2425	9502
61	2464	9461
62	2503	9417
63	2538	9361
64	2574	9307
65	2611	9259
66	2647	9206
67	2684	9157
68	2723	9116
69	2758	9064
70	2798	9025
71	2836	8983
72	2877	8948
73	2914	8900
74	2952	8857
75	2989	8810
76	3027	8767
77	3064	8722
78	3101	8676
79	3136	8626
80	3173	8579
81	3208	8531
82	3249	8496
83	3288	8455
84	3323	8407
85	3362	8366
86	3401	8327
87	3438	8282
88	3474	8237
89	3510	8191
90	3546	8145
91	3583	8100
92	3619	8057
93	3657	8015
94	3696	7977
95	3733	7933
96	3771	7892
97	3808	7850
98	3844	7805
99	3882	7765
100	3918	7720
101	3953	7675
102	3989	7631
103	4025	7586
104	4066	7551
105	4102	7508
106	4137	7463
107	4174	7420
108	4211	7378
109	4248	7338
110	4286	7298
111	4324	7258
112	4360	7215
113	4398	7176
114	4436	7136
115	4477	7101
116	4513	7060
117	4550	7019
118	4587	6978
119	4627	6941
120	4664	6899
121	4702	6860
122	4737	6817
123	4774	6776
124	4815	6741
125	4851	6699
126	4891	6663
127	4929	6623
128	4965	6582
129	5002	6542
130	5040	6502
131	5077	6462
132	5113	6420
133	5148	6378
134	5185	6337
135	5221	6296
136	5256	6254
137	5296	6217
138	5334	6178
139	5371	6139
140	5408	6098
141	5447	6061
142	5483	6020
143	5519	5979
144	5555	5939
145	5591	5898
146	5627	5856
147	5663	5816
148	5703	5779
149	5740	5740
150	5778	5702
151	5818	5665
152	5859	5629
153	5896	5590
154	5933	5550
155	5971	5511
156	6007	5471
157	6043	5431
158	6079	5390
159	6118	5353
160	6153	5313
161	6189	5272
162	6224	5232
163	6263	5194
164	6298	5153
165	6334	5113
166	6371	5074
167	6408	5035
168	6445	4996
169	6482	4957
170	6521	4920
171	6558	4881
172	6596	4842
173	6632	4803
174	6669	4763
175	6706	4724
176	6742	4685
177	6779	4646
178	6815	4607
179	6853	4568
180	6889	4529
181	6930	4493
182	6965	4453
183	7002	4414
184	7039	4375
185	7074	4335
186	7117	4300
187	7154	4261
188	7190	4223
189	7228	4184
190	7264	4145
191	7299	4105
192	7337	4068
193	7374	4029
194	7410	3990
195	7448	3952
196	7485	3913
197	7521	3874
198	7557	3835
199	7593	3796
200	7628	3757
201	7664	3718
202	7700	3679
203	7738	3641
204	7776	3603
205	7814	3565
206	7850	3527
207	7886	3488
208	7922	3449
209	7957	3410
210	7994	3371
211	8030	3333
212	8068	3295
213	8104	3256
214	8143	3219
215	8179	3180
216	8214	3141
217	8252	3104
218	8289	3066
219	8324	3027
220	8360	2988
221	8395	2949
222	8431	2911
223	8468	2873
224	8507	2835
225	8548	2799
226	8585	2760
227	8621	2722
228	8656	2683
229	8693	2645
230	8729	2607
231	8766	2569
232	8803	2531
233	8840	2493
234	8876	2455
235	8911	2416
236	8950	2379
237	8987	2341
238	9024	2303
239	9060	2265
240	9097	2227
241	9134	2189
242	9169	2150
243	9204	2112
244	9243	2075
245	9280	2037
246	9315	1998
247	9355	1961
248	9392	1923
249	9429	1885
250	9473	1849
251	9511	1811
252	9551	1774
253	9588	1736
254	9626	1698
255	9668	1661
256	9708	1624
257	9753	1587
258	9792	1550
259	9839	1513
260	9878	1476
261	9917	1438
262	9956	1400
263	9996	1363
264	10036	1325
265	10077	1288
266	10117	1250
267	10157	1212
268	10199	1175
269	10235	1137
270	10276	1099
271	10316	1062
272	10356	1024
273	10395	986
274	10433	948
275	10470	910
276	10507	872
277	10547	834
278	10593	797
279	10634	759
280	10674	721
281	10716	684
282	10753	645
283	10794	608
284	10836	570
285	10876	532
286	10914	494
287	10954	456
288	10996	418
289	11033	380
290	11072	342
291	11116	304
292	11156	266
293	11196	228
294	11237	190
295	11275	152
296	11313	114
297	11352	76
298	11396	38
299	11437	0
